"Source path before the run","Source path after the run","Parent of the recipe that made changes","Recipe that made changes","Estimated time saving","Cycle"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.maven.UpgradeParentVersion","300","1"
"pom.xml","pom.xml","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"pom.xml","pom.xml","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_5","org.openrewrite.maven.UpgradeParentVersion","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7","org.openrewrite.java.spring.security5.WebSecurityConfigurerAdapter","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_7","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.boot2.UpgradeSpringBoot_2_7","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","0","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","0","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","0","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","org.openrewrite.java.spring.boot2.HttpSecurityLambdaDsl","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","org.openrewrite.java.spring.security5.AuthorizeHttpRequests","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","org.openrewrite.java.spring.security5.UseNewRequestMatchers","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","org.openrewrite.java.spring.security5.UpgradeSpringSecurity_5_8","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.spring.security6.UpgradeSpringSecurity_6_0","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","300","1"
"src\main\java\com\example\demo\config\WebConfig.java","src\main\java\com\example\demo\config\WebConfig.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","300","1"
"src\main\java\com\example\demo\controller\HomeController.java","src\main\java\com\example\demo\controller\HomeController.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo\controller\HomeController.java","src\main\java\com\example\demo\controller\HomeController.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo\controller\HomeController.java","src\main\java\com\example\demo\controller\HomeController.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src\main\java\com\example\demo\controller\HomeController.java","src\main\java\com\example\demo\controller\HomeController.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src\main\java\com\example\demo\controller\HomeController.java","src\main\java\com\example\demo\controller\HomeController.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src\main\java\com\example\demo\controller\HomeController.java","src\main\java\com\example\demo\controller\HomeController.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","0","1"
"src\main\java\com\example\demo\controller\HomeController.java","src\main\java\com\example\demo\controller\HomeController.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","0","1"
"src\main\java\com\example\demo\controller\HomeController.java","src\main\java\com\example\demo\controller\HomeController.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","0","1"
"src\main\java\com\example\demo\DemoApplication.java","src\main\java\com\example\demo\DemoApplication.java","org.openrewrite.java.migrate.UpgradeBuildToJava17","org.openrewrite.java.migrate.UpgradeJavaVersion","0","1"
"src\main\java\com\example\demo\DemoApplication.java","src\main\java\com\example\demo\DemoApplication.java","org.openrewrite.java.migrate.UpgradeToJava17","org.openrewrite.java.migrate.UpgradeBuildToJava17","0","1"
"src\main\java\com\example\demo\DemoApplication.java","src\main\java\com\example\demo\DemoApplication.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","org.openrewrite.java.migrate.UpgradeToJava17","0","1"
"src\main\java\com\example\demo\DemoApplication.java","src\main\java\com\example\demo\DemoApplication.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_0","0","1"
"src\main\java\com\example\demo\DemoApplication.java","src\main\java\com\example\demo\DemoApplication.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_1","0","1"
"src\main\java\com\example\demo\DemoApplication.java","src\main\java\com\example\demo\DemoApplication.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_2","0","1"
"src\main\java\com\example\demo\DemoApplication.java","src\main\java\com\example\demo\DemoApplication.java","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_3","0","1"
"src\main\java\com\example\demo\DemoApplication.java","src\main\java\com\example\demo\DemoApplication.java","","org.openrewrite.java.spring.boot3.UpgradeSpringBoot_3_4","0","1"
